epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.7938312782443266,0.2589537660082483,1.6494973372829638,0.3259176863181313,8.075321674346924
2,1.6079793378228813,0.3659648361189494,1.4831385729177642,0.4794215795328142,5.937572240829468
3,1.4700717938704477,0.44888213588018233,2.0147359556828244,0.289210233592881,5.845634937286377
4,1.3293074278348125,0.521163446928587,1.1598524982327216,0.5628476084538376,5.989125728607178
5,1.2033502884016705,0.5717386585630562,1.093486426536976,0.6629588431590656,5.934062480926514
6,1.1006828985505077,0.6216626872151074,1.1262593791800426,0.5695216907675195,6.016547679901123
7,1.042887263916981,0.6357716518341654,0.9438743548875921,0.7052280311457174,6.098191022872925
8,0.9688347706521492,0.6663772520078142,0.9630631295274177,0.6885428253615128,5.954468250274658
9,0.9051221841996783,0.6880833514217495,1.4526607195978303,0.5161290322580645,6.047775030136108
10,0.8890538488237568,0.7000217060994139,0.8335020557394017,0.696329254727475,6.051693439483643
11,0.8676888562345908,0.7011070110701108,1.5214113302039889,0.47163515016685204,6.139273405075073
12,0.8249596440406536,0.715433036683308,0.6173313318423355,0.8220244716351501,6.089874982833862
13,0.7692418444537019,0.7393097460386369,1.3375099715719765,0.6028921023359288,6.221547842025757
14,0.7687244559928292,0.7371391360972434,1.2608170702937447,0.5728587319243604,6.221224784851074
15,0.7453440821090592,0.7443021489038419,0.5821567539113249,0.8231368186874305,6.134898900985718
16,0.7260641289593109,0.7629693943998264,0.8095914025825176,0.675194660734149,6.017895936965942
17,0.677935898109918,0.7725200781419579,0.568359419355403,0.8164627363737486,6.002820014953613
18,0.6592267057319667,0.7803342739309747,0.504971731789783,0.8364849833147943,6.089550495147705
19,0.6522678383808993,0.7838072498372043,0.782230686607695,0.7007786429365962,6.1207475662231445
20,0.6256314725272434,0.7979162144562623,1.0074689434685882,0.6206896551724138,6.149474859237671
21,0.612519936316283,0.8044280442804428,0.5104170456213734,0.8375973303670745,6.126553535461426
22,0.6111002889428865,0.8016062513566312,0.7415136499320042,0.7419354838709677,6.038353443145752
23,0.6034017840745213,0.7957456045148686,0.4797411700244475,0.8409343715239155,6.020832538604736
24,0.5756102137434165,0.8061645322335577,0.7358970481972805,0.7508342602892102,6.102895498275757
25,0.5739347402460021,0.8074668981983938,0.9923589878008018,0.6162402669632926,5.977903842926025
26,0.5660447663952426,0.8152810939874104,0.9817283821848529,0.6451612903225806,5.993834018707275
27,0.5661824977602337,0.8246147167354027,0.5382150841733903,0.8220244716351501,6.0939459800720215
28,0.5292581422535437,0.8317777295420014,0.7932850631643853,0.7030033370411568,6.0694663524627686
29,0.5373613367454333,0.8272194486650749,0.45852145960386653,0.8542825361512792,6.061262845993042
30,0.517402524153219,0.8356848274365096,0.575879945820643,0.7997775305895439,6.042309999465942
