epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,1.5955968008313604,0.43831092238735553,1.1751287171467846,0.6296977660972405,65.75166940689087
2,1.1076440347143715,0.6608870016513329,0.9739194501871818,0.7003942181340341,41.964765548706055
3,0.8880754025034759,0.7338405284265157,0.6825747794923268,0.8105124835742444,22.431095361709595
4,0.7637480249323916,0.771585279547063,0.8916084579349974,0.7140604467805519,22.017353296279907
5,0.6649092285665146,0.8026067468742628,0.817810339777291,0.7597897503285151,22.19881558418274
6,0.620788675683038,0.8141660769049304,0.5647475826599282,0.8323258869908016,22.049566507339478
7,0.5688460243004171,0.8324486907289455,0.5694396212599124,0.819185282522996,21.90075945854187
8,0.5254919938417953,0.8430644019815995,0.47139530868003937,0.854927726675427,22.303284406661987
9,0.4877955052236196,0.8543288511441378,0.5102106225004961,0.8399474375821288,22.574429035186768
10,0.46294917234780514,0.8616418966737438,0.48491937063839996,0.854927726675427,39.000319719314575
11,0.4427257230692974,0.8663599905638122,0.35200929693417543,0.8982917214191852,57.50956082344055
12,0.4188262986163819,0.8727294173154045,0.45975605641025435,0.8675427069645204,45.79423451423645
13,0.39039127778250476,0.8848785090823308,0.293874699629246,0.9093298291721419,22.088736534118652
14,0.3668020328216379,0.8867067704647322,0.34079698296790056,0.8935611038107752,22.439239501953125
15,0.365288013893356,0.8920146260910592,0.31927366913069877,0.906964520367937,22.295283555984497
16,0.35017864574489516,0.8929582448690729,0.3351916107492284,0.897503285151117,22.532357931137085
17,0.34506352203976126,0.8932531257372022,0.28290766874688056,0.9116951379763469,22.35762929916382
18,0.319642560440967,0.9026893135173389,0.25297339716032835,0.9177398160315374,22.656107902526855
19,0.3137432768480427,0.9049893842887473,0.3599342242411966,0.8938239159001314,22.66895866394043
20,0.3024297929802827,0.9084100023590469,0.2595265574038577,0.919053876478318,22.554993391036987
21,0.2954778576423099,0.9055791460250059,0.25364575876356266,0.9235216819973718,22.325963973999023
22,0.2924323935438704,0.9105921207832036,0.23916399864266955,0.9256241787122208,22.7899808883667
23,0.2833665658485414,0.9134229771172446,0.2878418900728539,0.9114323258869907,22.825682878494263
24,0.2725334394741632,0.9137178579853739,0.2352193670736506,0.9227332457293036,22.324785470962524
25,0.2653214248579666,0.916548714319415,0.3066145851953584,0.9017082785808147,22.757614850997925
26,0.26533486436605175,0.91690257136117,0.22364769876394885,0.9256241787122208,22.52429485321045
27,0.25835779515266644,0.9204411417787214,0.23537032935528499,0.9240473061760841,22.66658854484558
28,0.24682180884031227,0.9252182118424157,0.24287270759079366,0.9250985545335085,22.801093339920044
29,0.24770453071349577,0.9236848313281434,0.21546043367094497,0.9266754270696452,22.718417644500732
30,0.23990189134863701,0.9249233309742864,0.22637659827058795,0.9269382391590013,22.81931710243225
