epoch,train_loss,train_acc,val_loss,val_acc,seconds
1,2.227737885185725,0.2287901800936115,1.921875673349562,0.4215490899428723,52.96505260467529
2,1.6520589792825606,0.4467003502681256,1.484013178203786,0.48877374784110533,41.18309164047241
3,1.362951064223613,0.5345463562815784,1.135274115898892,0.6071476019662548,38.95318937301636
4,1.2374515418934513,0.5844518148848454,1.0443001990142817,0.6679952172180151,39.02246832847595
5,1.1207118151185014,0.6276618827686681,1.1216804134516312,0.6373056994818653,38.8956618309021
6,1.037515767054225,0.6583490902327889,0.9223643862838461,0.7062574730968514,38.902708530426025
7,0.9410826909645917,0.6934378971513592,0.6834983302767064,0.8007174172977282,38.94505453109741
8,0.8782090806224986,0.7141130157155698,0.5960544819108546,0.8217085160090342,38.96955871582031
9,0.8311743427795825,0.7299835714949939,0.7717430545456367,0.7623223063637572,38.48725485801697
10,0.775723719603514,0.7463190849632684,0.551565444527259,0.830609804703069,38.579314947128296
11,0.7390299245453248,0.7619416633086389,0.5150192646774714,0.8477481068154643,38.63250374794006
12,0.7005461602049742,0.7752704503890147,0.5136732350917583,0.8486780922014082,38.50424671173096
13,0.672978376123563,0.779796038560491,0.4608118986844288,0.8541251494619371,38.59638476371765
14,0.6466906283171214,0.7913269892439788,0.4487975693321551,0.8566493955094991,40.29251265525818
15,0.6239698969262135,0.7984873376522736,0.4238102065189689,0.8683406403613657,38.604337215423584
16,0.6113993412553516,0.8013080809646322,0.4253280353614244,0.8639564235419158,38.45192337036133
17,0.5864923983957366,0.8120021078081895,0.408357992344633,0.8764447987245915,38.54953217506409
18,0.5693375344688216,0.8158767552152754,0.42017964247262257,0.8695363358575794,38.573081970214844
19,0.5654566102774905,0.8153808003471684,0.37690824385664606,0.8833532615916035,38.75825238227844
20,0.544921652175423,0.8222931713214098,0.386309154727623,0.8756476683937824,38.8887357711792
21,0.5301548915419146,0.8253308948885651,0.4092467420552457,0.8781719144413445,38.622804403305054
22,0.5214729626310807,0.8258888441151855,0.36488242329980364,0.878570479606749,38.6710159778595
23,0.5105676657894744,0.8324292489383466,0.38927509758724893,0.8829546964261991,38.50970196723938
24,0.5011917558681099,0.833483153033074,0.32272265327274524,0.8967716221602232,38.60998868942261
25,0.4863458775638156,0.8396205945258981,0.34555533455970106,0.8860103626943006,38.50980091094971
26,0.4860427767294235,0.8403025324695452,0.3293051887504035,0.894380231167796,38.36489796638489
27,0.47440233307376073,0.8447971234617649,0.35253539550477836,0.8874717683007839,38.384305000305176
28,0.47386285167223596,0.8431542729611605,0.3417137234094483,0.889066028962402,38.359936237335205
29,0.4595739066643294,0.8486097765103375,0.3537368920901564,0.8834861166467384,38.63794755935669
30,0.45290889004396384,0.8482068131800006,0.3001451251915256,0.9011558389796732,38.695624589920044
